freq,class,sub_class,name,tooltip,alias,ignore
71,VERB,NA,convinced,convinced,\bconvinced\b,FALSE
71,VERB,NA,exploring,exploring,\bexploring\b,FALSE
71,VERB,NA,mobilize,mobilize,\bmobilize\b|\bmobilized\b|\bmobilizing\b,FALSE
71,VERB,NA,acknowledge,acknowledge,\backnowledge\b|\backnowledged\b|\backnowledges\b|\backnowledging\b,FALSE
70,VERB,NA,jointing,jointing,\bjointing\b,FALSE
69,VERB,NA,attracte,attracte,\battracting\b,FALSE
69,VERB,NA,exporting,exporting,\bexporting\b,FALSE
69,VERB,NA,climb,climb,\bclimb\b|\bClimb\b|\bclimbed\b|\bclimbing\b|\bclimbs\b,FALSE
68,VERB,NA,harvest,harvest,\bharvest\b|\bharvested\b|\bharvesting\b|\bharvests\b,FALSE
67,VERB,NA,embark,embark,\bembark\b|\bembarked\b|\bembarking\b|\bembarks\b,FALSE
67,VERB,NA,dominate,dominate,\bdominate\b|\bdominated\b|\bDominated\b|\bdominates\b|\bdominating\b,FALSE
66,VERB,NA,consolidate,consolidate,\bconsolidate\b|\bconsolidated\b|\bconsolidates\b,FALSE
66,VERB,NA,inject,inject,\binject\b|\binjected\b|\binjecting\b,FALSE
64,VERB,NA,appreciate,appreciate,\bappreciate\b|\bappreciated\b|\bappreciates\b,FALSE
63,VERB,NA,partnering,partnering,\bpartnering\b,FALSE
62,VERB,NA,teame,teame,\bteamed\b|\bteaming\b,FALSE
62,VERB,NA,witness,witness,\bwitness\b|\bWitness\b|\bwitnessed\b|\bwitnesses\b,FALSE
61,VERB,NA,strive,strive,\bstrive\b|\bstrived\b|\bstrives\b|\bstriving\b,FALSE
60,VERB,NA,capitalise,capitalise,\bcapitalise\b|\bcapitalised\b|\bcapitalises\b|\bcapitalising\b,FALSE
60,VERB,NA,illustrate,illustrate,\billustrate\b|\billustrated\b|\billustrates\b|\billustrating\b,FALSE
58,VERB,NA,succeed,succeed,\bsucceed\b|\bsucceeded\b|\bsucceeding\b|\bSucceeding\b|\bsucceeds\b,FALSE
58,VERB,NA,accomplish,accomplish,\baccomplish\b|\baccomplished\b|\baccomplishes\b|\baccomplishing\b,FALSE
58,VERB,NA,drag,drag,\bdrag\b|\bDrag\b|\bdragged\b|\bdragging\b,FALSE
58,VERB,NA,reject,reject,\breject\b|\brejected\b|\brejecting\b|\brejects\b,FALSE
58,VERB,NA,surpass,surpass,\bsurpass\b|\bsurpassed\b|\bsurpasses\b|\bsurpassing\b,FALSE
58,VERB,NA,Commissioning,Commissioning,\bCommissioning\b,FALSE
57,VERB,NA,christ,christ,\bchristen\b,FALSE
57,VERB,NA,Tender,Tender,\bTender\b|\bTENDER\b|\bTendering\b|\bTenders\b,FALSE
57,VERB,NA,innovate,innovate,\binnovate\b|\binnovated\b|\binnovates\b,FALSE
57,VERB,NA,viewing,viewing,\bviewing\b,FALSE
